Ένδειξη;Κωδικός;Περιγραφή;
1;2;ΙΟΝΙΟΙ ΝΗΣΟΙ                  ;
1;0;ΛΟΙΠΗ ΣΤΕΡΕΑ ΕΛΛΑΣ ΚΑΙ ΕΥΒΟΙΑ ;
2;01;ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ;
4;01010000;ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ;
5;01010100;Τ.Δ.Μεσολογγίου;
6;01010101;Μεσολόγγιον,το;
6;01010102;'Αγιος Συμεών,ο;
6;01010103;Αγριλιά,η;
6;01010104;Αρβανιταίικα,τα;
6;01010105;Αρχαία Αλίκαρνα,η;
6;01010106;Βασιλάδι,το (νησίς);
6;01010107;Ζεστή ,η;
6;01010108;Θεοδωρακαίικα,τα;
6;01010109;Καρίτσα,η;
6;01010110;Κόμμα,το (νησίς);
6;01010111;Μεσόκαμπος,ο
6;01010112;Μπαμπακούλα,η
6;01010113;Νέα Υδραγωγεία,τα
6;01010114;Νότιος Δίαυλος,ο
6;01010115;Προκοπάνιστος,ο (νησίς)
6;01010116;Σχίνος,ο
6;01010117;Σχοινιάς,ο (νησίς)
6;01010118;Τουρλίς,η (νησίς)
6;01010119;Τρελάγκαθα,τα
6;01010120;Χούνιστα,η
5;01010200;Τ.Δ.Αγίου Γεωργίου
6;01010201;'Αγιος Γεώργιος,ο
6;01010202;Κοκώρη,η
6;01010203;Κουτσοχέριον,το
6;01010204;Ξηραίικα,τα
5;01010300;Τ.Δ.Αγίου Θωμά
6;01010301;'Αγιος Θωμάς,ο
6;01010302;Αγραφορράχη,η
6;01010303;Μετόχι,το
6;01010304;Πασπαλιαρέικα,τα
5;01010400;Τ.Δ.'Ανω Κουδουνίου
6;01010401;'Ανω Κουδούνιον,το
6;01010402;Κάτω Κουδούνιον,το
6;01010403;Μελικιναίικα,τα
5;01010500;Τ.Δ.Ελληνικών
6;01010501;Ελληνικά,τα
6;01010502;Κάτω Ελληνικά,τα (τ.Κάτω Αμπέλια,τα)
5;01010600;Τ.Δ.Ευηνοχωρίου
6;01010601;Ευηνοχώριον,το
6;01010602;Νέα Καλυδών,η
5;01010700;Τ.Δ.Μουσούρων
6;01010701;'Ανω Μούσουρα,τα
5;01010800;Τ.Δ.Ρετσίνων
6;01010801;Κάτω Ρέτσινα,τα
6;01010802;Τρύπες,οι
4;01020000;ΔΗΜΟΣ ΑΓΓΕΛΟΚΑΣΤΡΟΥ
5;01020100;Τ.Δ.Αγγελοκάστρου
6;01020101;Αγγελόκαστρον,το
6;01020102;Σταθμός Αγγελοκάστρου,ο
5;01020200;Τ.Δ.Κλεισορρευμάτων
6;01020201;Κλεισορρεύματα,τα
6;01020202;'Αγιος Γεώργιος,ο
6;01020203;Μπρέσιακον,το
5;01020300;Τ.Δ.Λυσιμαχείας
6;01020301;Λυσιμάχεια,η
4;01030000;ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ
5;01030100;Τ.Δ.Αγρινίου
6;01030101;Αγρίνιον,το
6;01030102;'Αγιος Ιωάννης Ρηγανάς,ο
6;01030103;Ακροπόταμος,ο
6;01030104;Βελούχι,το
6;01030105;Γιαννούζι,το
6;01030106;Διαμανταίικα,τα
6;01030107;Ελευθερία,η
6;01030108;Λεύκα,η
6;01030109;Λιαγκαίικα,τα
6;01030110;Μπούζιον,το
6;01030111;Πυργίον,το
6;01030112;Στρογγυλαίικα,τα
6;01030113;Σχίνος,ο
5;01030200;Τ.Δ.Αγίου Κωνσταντίνου
6;01030201;'Αγιος Κωνσταντίνος,ο
5;01030300;Τ.Δ.Αγίου Νικολάου Τριχωνίδος
6;01030301;'Αγιος Νικόλαος,ο
5;01030400;Τ.Δ.Δοκιμίου
